county,state,fips,1938,1939,1940,1941,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1959,1960,1961,1962,1963
Los Angeles County,California,6037,0,15,19,23,115,99,101,89,87,83,80,72,69,25,25,21,22,25,22,31
Cook County,Illinois,17031,13,30,31,30,55,50,49,48,48,47,49,48,47,34,35,27,26,59,55,57
Harris County,Texas,48201,0,9,10,10,12,32,28,28,29,26,32,32,33,10,11,13,13,11,10,10
Maricopa County,Arizona,4013,0,6,14,13,21,19,17,16,16,16,19,19,19,12,12,12,12,12,10,7
San Diego County,California,6073,0,6,6,5,12,11,11,13,11,11,11,12,12,5,6,7,6,6,6,6
Orange County,California,6059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Miami-Dade County,Florida,12086,1,2,2,1,16,16,14,12,12,13,10,9,9,4,4,4,4,5,15,15
Kings County,New York,36047,32,24,24,24,54,58,61,65,72,70,70,74,70,13,11,10,8,10,16,23
Dallas County,Texas,48113,0,8,21,22,17,15,14,14,13,13,13,13,16,13,11,15,15,15,8,8
Riverside County,California,6065,0,0,0,0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2
Queens County,New York,36081,6,7,2,2,9,10,11,12,12,12,12,17,16,1,2,3,3,8,9,28
Clark County,Nevada,32003,0,0,0,0,0,1,1,2,2,2,2,2,2,2,3,5,5,5,6,6
King County,Washington,53033,0,1,2,15,41,50,54,50,41,38,37,37,32,6,8,8,8,8,8,12
San Bernardino County,California,6071,0,2,2,3,2,2,1,2,2,2,3,3,3,3,2,1,1,1,1,1
Tarrant County,Texas,48439,0,4,4,4,7,7,7,7,7,7,7,7,7,6,7,8,6,6,6,6
Bexar County,Texas,48029,0,2,3,2,21,19,19,32,32,28,26,24,24,7,7,6,6,6,6,6
Broward County,Florida,12011,0,0,0,0,3,3,3,1,1,1,2,1,1,1,1,1,1,1,18,14
Santa Clara County,California,6085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wayne County,Michigan,26163,11,15,17,19,57,51,51,64,59,53,51,46,46,23,25,16,15,15,13,12
Alameda County,California,6001,0,12,12,12,14,14,14,15,15,13,12,13,15,9,11,8,8,7,6,8
New York County,New York,36061,207,55,139,118,211,253,231,222,215,216,211,193,178,33,32,37,36,36,154,228
Middlesex County,Massachusetts,25017,0,1,1,1,2,2,2,2,3,3,4,4,3,2,2,2,2,2,2,3
Philadelphia County,Pennsylvania,42101,47,58,54,63,83,84,87,86,79,75,72,66,73,33,35,9,9,18,17,18
Sacramento County,California,6067,0,0,0,0,0,1,1,1,1,9,8,8,8,3,3,3,2,2,2,1
Suffolk County,New York,36103,4,4,0,0,4,4,4,6,6,7,7,7,7,2,2,3,3,3,3,18
Palm Beach County,Florida,12099,0,0,0,1,2,2,2,1,1,1,1,1,1,0,0,2,2,4,8,8
Hillsborough County,Florida,12057,3,3,3,7,5,6,5,21,19,16,16,15,13,4,4,4,4,4,6,6
Bronx County,New York,36005,0,0,0,0,58,59,46,45,43,43,39,32,30,4,3,2,2,2,6,15
Orange County,Florida,12095,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,5,4
Nassau County,New York,36059,2,2,3,3,1,3,3,4,4,6,6,4,4,0,0,0,0,0,0,24
Franklin County,Ohio,39049,4,8,9,4,19,18,18,50,66,69,62,56,51,22,19,21,20,19,15,14
Travis County,Texas,48453,0,4,4,3,4,4,4,4,4,4,4,4,5,5,5,6,6,6,5,4
Oakland County,Michigan,26125,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1
Hennepin County,Minnesota,27053,0,1,2,4,4,17,17,15,15,15,13,14,13,3,5,5,4,6,1,1
Cuyahoga County,Ohio,39035,11,13,13,8,38,34,36,36,29,25,25,26,25,11,10,10,9,9,9,9
Allegheny County,Pennsylvania,42003,8,10,14,14,12,11,10,10,8,9,12,12,11,10,12,10,8,8,8,8
Salt Lake County,Utah,49035,0,0,1,1,1,4,4,4,3,3,3,4,4,4,4,9,8,8,5,5
Contra Costa County,California,6013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fairfax County,Virginia,51059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wake County,North Carolina,37183,1,4,4,4,11,9,9,16,20,22,16,21,21,7,8,9,9,10,8,8
Mecklenburg County,North Carolina,37119,2,3,2,2,1,6,7,13,11,10,9,9,9,3,3,3,3,7,3,34
Collin County,Texas,48085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fulton County,Georgia,13121,12,18,15,11,22,22,21,30,31,24,24,23,24,10,11,12,14,14,12,12
Montgomery County,Maryland,24031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pima County,Arizona,4019,0,0,3,3,2,1,1,1,1,1,1,1,1,2,4,4,4,4,2,2
Honolulu County,Hawaii,15003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Fresno County,California,6019,0,1,1,1,20,17,15,15,12,11,11,11,9,2,5,5,5,5,4,4
St. Louis County,Missouri,29189,0,0,0,0,2,2,2,1,2,2,2,2,2,0,0,2,0,0,0,0
Westchester County,New York,36119,41,39,35,38,29,28,28,36,31,26,28,35,31,10,11,11,10,10,9,36
Duval County,Florida,12031,7,11,10,10,10,10,11,18,15,14,15,17,17,12,11,9,9,7,4,6
Capitol Planning Region,Connecticut,9110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marion County,Indiana,18097,0,7,13,12,33,29,28,64,68,60,56,53,51,16,15,13,11,11,9,8
Pinellas County,Florida,12103,5,5,5,3,1,1,1,1,1,1,1,2,2,2,2,4,4,4,4,3
Gwinnett County,Georgia,13135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prince George's County,Maryland,24033,0,1,2,0,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1
Bergen County,New Jersey,34003,11,10,8,8,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,11
Erie County,New York,36029,4,7,7,7,78,83,81,78,70,68,67,67,66,17,18,17,16,15,21,32
Milwaukee County,Wisconsin,55079,0,0,0,0,0,0,0,0,0,0,0,109,100,17,14,14,11,8,7,11
DuPage County,Illinois,17043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shelby County,Tennessee,47157,2,5,5,8,16,16,15,13,13,18,16,15,15,8,9,8,43,43,29,29
Pierce County,Washington,53053,0,3,2,2,3,3,5,5,5,5,3,2,2,2,3,3,3,3,4,4
Denton County,Texas,48121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kern County,California,6029,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Macomb County,Michigan,26099,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hidalgo County,Texas,48215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Paso County,Texas,48141,0,11,11,10,11,11,11,11,10,8,9,8,8,5,6,6,5,4,4,4
Middlesex County,New Jersey,34023,2,2,2,3,4,5,5,5,5,5,4,4,2,2,2,2,2,2,2,2
Worcester County,Massachusetts,25027,1,2,0,0,8,8,8,6,5,5,5,5,5,1,2,1,1,1,1,0
Montgomery County,Pennsylvania,42091,0,0,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Essex County,New Jersey,34013,46,67,61,72,87,104,99,95,93,96,89,85,83,17,17,18,17,16,12,11
San Francisco County,California,6075,0,8,12,10,11,12,12,26,24,24,22,18,18,8,10,10,10,7,7,7
Baltimore County,Maryland,24005,0,1,0,0,1,4,4,4,4,4,2,2,2,0,0,0,0,0,0,0
Ventura County,California,6111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Bend County,Texas,48157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snohomish County,Washington,53061,0,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,0,0,0,0
Hamilton County,Ohio,39061,0,10,14,15,44,106,104,95,88,82,72,68,66,17,13,13,10,10,7,7
Multnomah County,Oregon,41051,0,1,2,16,13,11,10,10,10,10,10,10,10,3,2,2,1,1,2,2
