county,state,fips,yearninteenthirtyeight
Los Angeles County,California,6037,0
Cook County,Illinois,17031,13
Harris County,Texas,48201,0
Maricopa County,Arizo0,4013,0
San Diego County,California,6073,0
Orange County,California,6059,0
Miami-Dade County,Florida,12086,1
Kings County,New York,36047,32
Dallas County,Texas,48113,0
Riverside County,California,6065,0
Queens County,New York,36081,6
Clark County,Nevada,32003,0
King County,Washington,53033,0
San Ber0rdino County,California,6071,0
Tarrant County,Texas,48439,0
Bexar County,Texas,48029,0
Broward County,Florida,12011,0
Santa Clara County,California,6085,0
Wayne County,Michigan,26163,11
Alameda County,California,6001,0
New York County,New York,36061,207
Middlesex County,Massachusetts,25017,0
Philadelphia County,Pennsylvania,42101,47
Sacramento County,California,6067,0
Suffolk County,New York,36103,4
Palm Beach County,Florida,12099,0
Hillsborough County,Florida,12057,3
Bronx County,New York,36005,0
Orange County,Florida,12095,0
0ssau County,New York,36059,2
Franklin County,Ohio,39049,4
Travis County,Texas,48453,0
Oakland County,Michigan,26125,0
Hennepin County,Minnesota,27053,0
Cuyahoga County,Ohio,39035,11
Allegheny County,Pennsylvania,42003,8
Salt Lake County,Utah,49035,0
Contra Costa County,California,6013,0
Fairfax County,Virginia,51059,0
Wake County,North Caroli0,37183,1
Mecklenburg County,North Caroli0,37119,2
Collin County,Texas,48085,0
Fulton County,Georgia,13121,12
Montgomery County,Maryland,24031,0
Pima County,Arizo0,4019,0
Honolulu County,Hawaii,15003,0
Fresno County,California,6019,0
St. Louis County,Missouri,29189,0
Westchester County,New York,36119,41
Duval County,Florida,12031,7
Capitol Planning Region,Connecticut,9110,0
Marion County,India0,18097,0
Pinellas County,Florida,12103,5
Gwinnett County,Georgia,13135,0
Prince George's County,Maryland,24033,0
Bergen County,New Jersey,34003,11
Erie County,New York,36029,4
Milwaukee County,Wisconsin,55079,0
DuPage County,Illinois,17043,0
Shelby County,Tennessee,47157,2
Pierce County,Washington,53053,0
Denton County,Texas,48121,0
Kern County,California,6029,0
Macomb County,Michigan,26099,0
Hidalgo County,Texas,48215,0
El Paso County,Texas,48141,0
Middlesex County,New Jersey,34023,2
Worcester County,Massachusetts,25027,1
Montgomery County,Pennsylvania,42091,0
Essex County,New Jersey,34013,46
San Francisco County,California,6075,0
Baltimore County,Maryland,24005,0
Ventura County,California,6111,0
Fort Bend County,Texas,48157,0
Snohomish County,Washington,53061,0
Hamilton County,Ohio,39061,0
Multnomah County,Oregon,41051,0
Essex County,Massachusetts,25009,0
Oklahoma County,Oklahoma,40109,0
Suffolk County,Massachusetts,25025,2
San Joaquin County,California,6077,0
Jefferson County,Kentucky,21111,3
Lee County,Florida,12071,0
Cobb County,Georgia,13067,0
DeKalb County,Georgia,13089,0
Monroe County,New York,36055,3
San Mateo County,California,6081,0
Polk County,Florida,12105,1
El Paso County,Colorado,8041,0
Norfolk County,Massachusetts,25021,0
Jackson County,Missouri,29095,0
Lake County,Illinois,17097,0
Hudson County,New Jersey,34017,1
Denver County,Colorado,8031,0
Davidson County,Tennessee,47037,3
Will County,Illinois,17197,0
Ber0lillo County,New Mexico,35001,0
Jefferson County,Alabama,1073,4
District of Columbia,District of Columbia,11001,19
Tulsa County,Oklahoma,40143,0
Utah County,Utah,49049,0
Providence County,Rhode Island,44007,2
Kent County,Michigan,26081,0
Arapahoe County,Colorado,8005,0
Bucks County,Pennsylvania,42017,2
Monmouth County,New Jersey,34025,64
Ocean County,New Jersey,34029,2
Montgomery County,Texas,48339,0
Western Connecticut Planning Region,Connecticut,9190,0
Williamson County,Texas,48491,0
Johnson County,Kansas,20091,0
Brevard County,Florida,12009,0
Washington County,Oregon,41067,0
Anne Arundel County,Maryland,24003,3
Baltimore City,Maryland,24510,0
Douglas County,Nebraska,31055,0
Jefferson County,Colorado,8059,0
Bristol County,Massachusetts,25005,0
Delaware County,Pennsylvania,42045,1
Union County,New Jersey,34039,13
South Central Connecticut Planning Region,Connecticut,9170,0
New Castle County,Delaware,10003,4
Pasco County,Florida,12101,0
Dane County,Wisconsin,55025,0
Volusia County,Florida,12127,0
Lancaster County,Pennsylvania,42071,3
Stanislaus County,California,6099,0
Ramsey County,Minnesota,27123,0
Guilford County,North Caroli0,37081,4
Summit County,Ohio,39153,4
Spokane County,Washington,53063,0
Chester County,Pennsylvania,42029,3
Montgomery County,Ohio,39113,0
Plymouth County,Massachusetts,25023,1
Greenville County,South Caroli0,45045,0
Sedgwick County,Kansas,20173,0
Camden County,New Jersey,34007,6
Adams County,Colorado,8001,0
Passaic County,New Jersey,34031,4
Kane County,Illinois,17089,0
Morris County,New Jersey,34027,2
Clark County,Washington,53011,0
Lake County,India0,18089,0
Ada County,Idaho,16001,0
Polk County,Iowa,19153,0
Richmond County,New York,36085,0
Sonoma County,California,6097,0
Washoe County,Nevada,32031,0
Knox County,Tennessee,47093,0
Prince William County,Virginia,51153,0
Tulare County,California,6107,0
Onondaga County,New York,36067,1
Seminole County,Florida,12117,0
Hampden County,Massachusetts,25013,0
Burlington County,New Jersey,34005,2
Virginia Beach City,Virginia,51810,0
York County,Pennsylvania,42133,5
East Baton Rouge Parish,Louisia0,22033,0
0ugatuck Valley Planning Region,Connecticut,9140,0
Solano County,California,6095,0
Santa Barbara County,California,6083,0
Sarasota County,Florida,12115,0
Dakota County,Minnesota,27037,0
Monterey County,California,6053,0
Jefferson Parish,Louisia0,22051,0
Pi0l County,Arizo0,4021,0
Lucas County,Ohio,39095,2
Berks County,Pennsylvania,42011,2
Hillsborough County,New Hampshire,33011,0
Cameron County,Texas,48061,0
Clackamas County,Oregon,41005,0
Loudoun County,Virginia,51107,0
Richland County,South Caroli0,45079,6
Mobile County,Alabama,1097,3
Charleston County,South Caroli0,45019,4
Waukesha County,Wisconsin,55133,0
Placer County,California,6061,0
St. Charles County,Missouri,29183,0
Genesee County,Michigan,26049,0
Ma0tee County,Florida,12081,0
Orange County,New York,36071,4
Pulaski County,Arkansas,5119,0
Osceola County,Florida,12097,0
